Symbol,Date,Open,High,Low,Close,Volume,volumeMoV,close20EMA,closeMoV,vira21dayMAc,vira21dayMAp,emaslow,emafast,macd,signalMACD,histogramMACD,ensambleFzInput,rsi,fastK,fastD,slowD,curvaVerde,curvaRoja,sigCruzeC,sigCruzeV,volumeSD,priceSD,rangeVolume,rangePrice,averageVolume,averagePrice,volumeUCL,volumeLCL,priceUCL,priceLCL,flagVolume,flagPrft,fluidSingal,ensamble1dGenome,ensamble2dGenome,ensamble3dGenome,comboLRGR,upperBB,lowerBB,20dSMA Close,20dStdev Close,20dStedv Close K,macdRatio,macdAngle,signalMACDRatio,signalMACDAngle,histMACDRatio,histMACDAngle,viraCRatio,viraCAngle,viraPRatio,viraPAngle,viraDiffRatio,viraDiffAngle,ubolingerBandRatio,ubolingerBandAngle,lbolingerBandRatio,lbolingerBandAngle,bolingerDiffRatio,bolingerDiffAngle,unDia,tresDias,unDiaPerformance,tresDiasPerformance,20EMA&50SMA_slope,pct*low>20EMA,buyPrice=low*pctBuyPrice,FlagAseComproA,FlagAseComproDay,FlagAseVendioA,FlagAprftMax,FlagAprftMaxDay,FlagAmaxLoss,FlagAmaxLossDay,FlagAprft2pctDay,FlagAloss1pctDay,FlagAmensaje1,FlagAmensaje2,20EMA&50SMA_slope,pct*low>20EMA,buyPrice=low*pctBuyPrice,FlagBSeComproA,FlagBseComproDay,FlagBseVendioA,FlagBprftMax,FlagBprftMaxDay,FlagBmaxLoss,FlagBmaxLossDay,FlagBprft2pctDay,FlagBloss1pctDay,FlagBmensaje1,FlagBmensaje2
AGL.AX,2/4/2019,21.60000038,21.88999939,21.51499939,21.79999924,1844353,1840345.56,21.14299017,20.17199997,2,2.0952,20.96805577,21.38036454,0.41230877,0.411512319,0.00079645,33413,69.32479239,93.18180505,77.52526274,74.83166199,45,55,0,0,199416.5614,0.001456549,313113,0.000967608,42567.2381,-0.003653738,939941.7644,-854807.2882,0.002900732,-0.010208207,0,0,0,H5C3O1L0,H5C2O0L0H5C3O1L0,H5O3C0L0H5C2O0L0H5C3O1L0,33413H5C3O1L0,21.86507261,20.51392748,21.18950005,0.329233343,0.337786283,2.362729319,67.0619848,0.048385572,2.770210366,1198.144668,89.95483259,0,0,2.271859488,66.24439208,50,88.85685778,0.370140078,20.31213187,0.166075293,9.42962968,3.468378831,73.91889611,Keep,Keep,1.008256895,0.96788996,"20EMA&50SMA@{NA},low>20EMA{NA},buyPrice=low*1.01,21.730149383544923,3,22.239999771118164,1.0234628109809187,10,0.962717729503302,4,3,3,Se logro Vender con Maximo profit,Marca del 2% incierta","20EMA&50SMA@NA,1.01*low>20EMA,buyPrice=low*1.01,0,0,0,-100,0,100,0,0,0,no se flageo B,no se flageo B",,,,,,,,,,,,,,,,,,,,,,,,,,
AGL.AX,2/5/2019,21.89999962,22.05500031,21.86000061,21.97999954,2215035,1847221.06,21.22270535,20.24159996,2,2.0952,21.04301457,21.47261608,0.42960151,0.415130157,0.014471353,33513,71.62044964,94.94944565,87.7104169,79.48933672,45,50,0,0,199611.5162,0.001439028,-165899,0.001447818,45308.61905,-0.003873765,943560.4421,-852943.204,0.00260186,-0.01034939,0,0,0,H5C3O1L0,H5C3O1L0H5C3O1L0,H5C2O0L0H5C3O1L0H5C3O1L0,33513H5C3O1L0,21.97366025,20.53433974,21.254,0.350719026,0.359830128,4.02529795,76.05075758,0.87149492,41.07319641,94.49636554,89.39633129,0,0,0,0,0,0,0.494171841,26.29806138,0.099405482,5.677032456,6.126181168,80.73153598,Keep,Keep,1.008189277,0.971337617,"20EMA&50SMA@{NA},low>20EMA{NA},buyPrice=low*1.01,22.078600616455077,1,22.239999771118164,1.0073102076289562,9,0.9475238236205228,3,2,2,Se logro Vender con Maximo profit,Marca del 2% incierta","20EMA&50SMA@NA,1.01*low>20EMA,buyPrice=low*1.01,0,0,0,-100,0,100,0,0,0,no se flageo B,no se flageo B",,,,,,,,,,,,,,,,,,,,,,,,,,
AGL.AX,2/6/2019,21.90999985,22.32999992,21.85000038,22.15999985,1602072,1844935.36,21.31197149,20.31159996,2,2.0476,21.12575422,21.57836743,0.452613209,0.422626768,0.029986441,33513,73.73708996,90,92.7104169,85.98203218,45,80,0,0,201753.8376,0.001455173,527396,-0.0205379,24019.85714,-0.004486057,931912.1263,-883872.4121,0.002062223,-0.011034337,0,-1,0,H5C3O0L0,H5C3O1L0H5C3O0L0,H5C3O1L0H5C3O1L0H5C3O0L0,33513H5C3O0L0,22.11984779,20.51715211,21.31849995,0.390528629,0.40067392,5.084186272,78.8749574,1.773813418,60.58934602,51.74034556,88.89538819,0,0,-2.324672788,-66.72613673,-100,-89.42969881,0.660888514,33.46124476,-0.083772019,-4.788743497,10.19377341,84.39975138,Short,Keep,0.952166089,0.964350225,"20EMA&50SMA@{NA},low>20EMA{NA},buyPrice=low*1.01,22.068500385284423,1,22.239999771118164,1.0077712297092964,8,0.9479574828855922,2,2,2,Se logro Vender con Maximo profit,Marca del 2% incierta","20EMA&50SMA@NA,1.01*low>20EMA,buyPrice=low*1.01,0,0,0,-100,0,100,0,0,0,no se flageo B,no se flageo B",,,,,,,,,,,,,,,,,,,,,,,,,,
AGL.AX,2/7/2019,21.82999992,22.21999931,20.96999931,21.10000038,4621252,1925445.34,21.29178377,20.35959995,1.9524,2.0952,21.12384653,21.5047725,0.38092597,0.414286608,-0.033360638,33413,50.05921664,18.54308902,67.83084489,82.75055956,40,75,0,0,244544.3916,0.002116679,66719,0.002865395,142676.2381,-0.001915671,1243126,-957773.5239,0.007609384,-0.011440726,1,0,0,H5O3C0L0,H5C3O0L0H5O3C0L0,H5C3O1L0H5C3O0L0H5O3C0L0,33413H5O3C0L0,22.11130511,20.5476949,21.32950001,0.381004678,0.390902552,-18.81920484,-86.96088759,-2.013137599,-63.58658261,189.885695,89.70091004,-2.438024995,-67.70012421,2.271859488,66.24439208,66.66666667,89.14325682,-0.038634869,-2.21257979,0.148643417,8.454983769,-2.499693938,-68.19818283,Keep,Buy,1.011848341,1.03412319,"20EMA&50SMA@{NA},low>20EMA{NA},buyPrice=low*1.01,21.179699306488036,1,22.239999771118164,1.0500621113306043,7,0.9877382947493246,1,2,18,Se logro Vender con Maximo profit,Se logro la marca del 2%","20EMA&50SMA@NA,1.01*low>20EMA,buyPrice=low*1.01,0,0,0,-100,0,100,0,0,0,no se flageo B,no se flageo B",,,,,,,,,,,,,,,,,,,,,,,,,,
AGL.AX,2/8/2019,21.07999992,21.51000023,20.92000008,21.35000038,3060473,1961402.36,21.29732821,20.41619995,1.9524,2.0476,21.14059867,21.4809614,0.340362738,0.399501834,-0.059139096,33413,53.825219,35.0993779,47.88082231,69.47402803,35,70,0,0,257065.7884,0.002161254,-5957,-0.006223125,65176.33333,-0.002662041,1221972.381,-1091619.714,0.007063601,-0.012387684,-1,0,0,H5C3O1L0,H5O3C0L0H5C3O1L0,H5C3O0L0H5O3C0L0H5C3O1L0,33413H5C3O1L0,22.11411137,20.57788864,21.346,0.374331177,0.384055684,-11.91764775,-85.20610702,-3.700802539,-74.88133066,43.58953702,88.68840735,0,0,-2.324672788,-66.72613673,-50,-88.85685778,0.012689904,0.727060349,0.146729013,8.347634709,-1.782780115,-60.7127792,Keep,Buy,1.00093679,1.023419203,"20EMA&50SMA@{NA},low>20EMA{NA},buyPrice=low*1.01,21.129200077056886,1,22.239999771118164,1.0525717817054248,6,0.9915188784495436,17,2,0,Se logro Vender con Maximo profit,Se vendio con perdida del 1%","20EMA&50SMA@NA,1.01*low>20EMA,buyPrice=low*1.01,0,0,0,-100,0,100,0,0,0,no se flageo B,no se flageo B",,,,,,,,,,,,,,,,,,,,,,,,,,
AGL.AX,2/11/2019,21.22999954,21.44000053,21.06999969,21.37000084,1388013,1953023.36,21.30424941,20.46619995,1.9524,2,21.15759142,21.46389055,0.306299128,0.380861293,-0.074562165,33413,54.123278,32.3944343,28.67896707,48.13021142,30,65,0,0,269477.5088,0.00216271,-184899,0.001415795,-14180.95238,-0.002679726,1198467.837,-1226829.742,0.007052469,-0.01241192,-1,0,0,H5C4O2L0,H5C3O1L0H5C4O2L0,H5O3C0L0H5C3O1L0H5C4O2L0,33413H5C4O2L0,22.11963094,20.59336917,21.35650005,0.37190399,0.381565443,-11.12102729,-84.86429935,-4.89431231,-78.45464863,20.68484545,87.23478778,0,0,-2.38,-67.21139139,-100,-89.42969881,0.024953255,1.429461722,0.075172407,4.299102928,-0.652637937,-33.13096808,Buy,Keep,1.021057503,1.020589547,"20EMA&50SMA@{NA},low>20EMA{NA},buyPrice=low*1.01,21.280699691772462,7,22.170000076293945,1.0417890575686901,19,0.9844601477572251,16,7,16,Se logro Vender con Maximo profit,Se logro la marca del 2%","20EMA&50SMA@NA,1.01*low>20EMA,buyPrice=low*1.01,0,0,0,-100,0,100,0,0,0,no se flageo B,no se flageo B",,,,,,,,,,,,,,,,,,,,,,,,,,
AGL.AX,2/12/2019,21.70000076,22.19000053,21.625,21.81999969,3808243,1987899.36,21.35336849,20.52459995,2,2.0476,21.2066587,21.51867657,0.312017871,0.367092609,-0.055074737,33413,60.32818912,64.08449285,43.85943502,40.13974147,25,60,0,0,291989.1524,0.002156963,-411009,0.002822176,109872.8095,-0.003010473,1423823.995,-1204078.376,0.006695862,-0.012716808,1,0,0,H5C1O0L0,H5C4O2L0H5C1O0L0,H5C3O1L0H5C4O2L0H5C1O0L0,33413H5C1O0L0,22.17388032,20.60111968,21.3875,0.383234361,0.393190158,1.832825458,61.38467689,-3.750738641,-75.07360611,-35.38360465,-88.38376277,2.38,67.21139139,2.324672788,66.72613673,0,0,0.244654417,13.74802544,0.037621817,2.154618739,2.956512333,71.31469642,Keep,Keep,1.001374917,1.010540767,"20EMA&50SMA@{NA},low>20EMA{NA},buyPrice=low*1.01,21.84125,1,22.239999771118164,1.0182567284893569,4,0.9591942202456112,15,2,2,Se logro Vender con Maximo profit,Marca del 2% incierta","20EMA&50SMA@NA,1.01*low>20EMA,buyPrice=low*1.01,0,0,0,-100,0,100,0,0,0,no se flageo B,no se flageo B",,,,,,,,,,,,,,,,,,,,,,,,,,
AGL.AX,2/13/2019,21.85000038,21.95499992,21.71999931,21.85000038,1869640,1996307.18,21.40066676,20.58779995,2,2,21.25431364,21.56964946,0.315335826,0.356741252,-0.041405426,33411,60.70972268,65.95747559,54.14546758,42.22795656,20,55,0,0,306440.4833,0.002143604,546448,0.002346281,37130.2381,-0.003144863,1416112.413,-1341851.937,0.006501357,-0.012791082,-1,0,0,H5O2C2L0,H5C1O0L0H5O2C2L0,H5C4O2L0H5C1O0L0H5O2C2L0,33411H5O2C2L0,22.22714839,20.60685162,21.41700001,0.394817484,0.405074192,1.052197154,46.45836078,-2.901642711,-70.98648464,-33.01333278,-88.2675992,0,0,-2.38,-67.21139139,0,0,0.239653208,13.47734174,0.027815705,1.59335865,2.933791769,71.1801237,Keep,Keep,0.998169295,1.008695676,"20EMA&50SMA@{NA},low>20EMA{NA},buyPrice=low*1.01,21.937199306488036,1,22.239999771118164,1.0138030593787135,3,0.9549988797678192,14,2,2,Se logro Vender con Maximo profit,Marca del 2% incierta","20EMA&50SMA@NA,1.01*low>20EMA,buyPrice=low*1.01,0,0,0,-100,0,100,0,0,0,no se flageo B,no se flageo B",,,,,,,,,,,,,,,,,,,,,,,,,,
AGL.AX,2/14/2019,21.60000038,21.94000053,21.54000092,21.80999947,2008710,1932938.66,21.43965083,20.64779995,2,1.9524,21.29547555,21.60662639,0.311150836,0.347623169,-0.036472333,32412,59.88277871,63.12053092,64.38749979,54.1308008,15,50,0,0,305488.4528,0.002146867,1988820,-0.00047372,17731.28571,-0.003719551,1392429.323,-1356966.752,0.005941349,-0.013380451,0,0,0,H5C3O0L0,H5O2C2L0H5C3O0L0,H5C1O0L0H5O2C2L0H5C3O0L0,32412H5C3O0L0,22.26714332,20.63585656,21.45149994,0.397495414,0.40782169,-1.345003559,-53.37104979,-2.622979137,-69.13289701,-13.52557678,-85.77411681,0,0,-2.438024995,-67.70012421,100,89.42969881,0.17961409,10.18285551,0.140556006,8.001088383,0.67370075,33.9691804,Keep,Keep,1.011004116,1.011462632,"20EMA&50SMA@{NA},low>20EMA{NA},buyPrice=low*1.01,21.75540092468262,1,22.239999771118164,1.0222748754717612,2,0.9629793004260658,13,2,4,Se logro Vender con Maximo profit,Se logro la marca del 2%","20EMA&50SMA@NA,1.01*low>20EMA,buyPrice=low*1.01,0,0,0,-100,0,100,0,0,0,no se flageo B,no se flageo B",,,,,,,,,,,,,,,,,,,,,,,,,,
AGL.AX,2/15/2019,21.62999916,22.10000038,21.62000084,22.04999924,2430991,1943410.94,21.49777925,20.70719994,2,1.9048,21.35136619,21.6748376,0.3234714,0.342792815,-0.019321415,31411,63.12797114,80.14179312,69.73993321,62.75763353,10,50,0,0,290894.0765,0.002259465,-1606606,0,-56865.80952,-0.004621635,1252157.535,-1365889.154,0.005545959,-0.014789229,0,0,0,H5C4O0L0,H5C3O0L0H5C4O0L0,H5O2C2L0H5C3O0L0H5C4O0L0,31411H5C4O0L0,22.29527676,20.74272296,21.51899986,0.378310566,0.388138451,3.808857357,75.29145467,-1.409117547,-54.63966079,-88.76636665,-89.35719546,0,0,-2.498950021,-68.19230083,50,88.85685778,0.126185678,7.1921079,0.515199482,27.25830414,-5.07119011,-78.8471543,Keep,Keep,0.999546561,0.966439919,"20EMA&50SMA@{NA},low>20EMA{NA},buyPrice=low*1.01,21.836200847625733,3,22.170000076293945,1.015286506613375,15,0.9594160133042265,12,3,3,Se logro Vender con Maximo profit,Marca del 2% incierta","20EMA&50SMA@NA,1.01*low>20EMA,buyPrice=low*1.01,0,0,0,-100,0,100,0,0,0,no se flageo B,no se flageo B",,,,,,,,,,,,,,,,,,,,,,,,,,
AGL.AX,2/18/2019,22.04999924,22.23999977,21.95999908,22.04000092,1451567,1926495.24,21.54941941,20.76779995,2.0476,1.9048,21.40237617,21.73101657,0.328640393,0.339962331,-0.011321937,31411,62.89969574,79.43269223,74.23167209,69.45303503,5,55,0,0,284711.8409,0.002261666,-659797,-0.013087759,-27000,-0.004600043,1254203.284,-1308203.284,0.005577453,-0.014777538,0,0,0,H5O1C1L0,H5C4O0L0H5O1C1L0,H5C3O0L0H5C4O0L0H5O1C1L0,31411H5O1C1L0,22.32793474,20.82406511,21.57599993,0.3664477,0.375967407,1.572841668,57.55382701,-0.832587644,-39.78152042,-70.65466886,-89.19175762,2.324672788,66.72613673,0,0,33.33333333,88.28424573,0.146265104,8.321612381,0.390616108,21.33704655,-3.237260382,-72.83606355,Keep,Keep,1.000907375,0.970054368,"20EMA&50SMA@{NA},low>20EMA{NA},buyPrice=low*1.01,22.179599075317384,1,0,-100,0,0.9445617430593553,11,2,2,Se compro pero no se logro vender,Marca del 2% incierta","20EMA&50SMA@NA,1.01*low>20EMA,buyPrice=low*1.01,0,0,0,-100,0,100,0,0,0,no se flageo B,no se flageo B",,,,,,,,,,,,,,,,,,,,,,,,,,
